NO,NOMOR INDUK BUKU,NOMOR INVENTARIS,JUDUL,NOMOR PANGGIL SETEMPAT,PENERBIT,TANGGAL MASUK,TANGGAL INVENTARIS
781,2391/PAMNS/2022,2391.05,Atlas Berwarna Helmintologi Kedokteran,616.96 Pra A,Airlangga University Press,26-Sep-22,29-Sep-22
782,2392/PAMNS/2022,2392.06,Atlas Berwarna Helmintologi Kedokteran,616.96 Pra A,Airlangga University Press,26-Sep-22,29-Sep-22
783,2393/PAMNS/2022,2393.07,Atlas Berwarna Helmintologi Kedokteran,616.96 Pra A,Airlangga University Press,26-Sep-22,29-Sep-22
784,2394/PAMNS/2022,2394.08,Atlas Berwarna Helmintologi Kedokteran,616.96 Pra A,Airlangga University Press,26-Sep-22,29-Sep-22
785,2395/PAMNS/2022,2395.09,Atlas Berwarna Helmintologi Kedokteran,616.96 Pra A,Airlangga University Press,26-Sep-22,29-Sep-22
786,2396/PAMNS/2022,2396.1,Atlas Berwarna Helmintologi Kedokteran,616.96 Pra A,Airlangga University Press,26-Sep-22,29-Sep-22
6822,2397/PAMNS/2022,2397.01,Pengantar Praktikum Helmintologi Kedokteran,616.96 Pra H,Airlangga University Press,26-Sep-22,07 Oktober 2022
6823,2398/PAMNS/2022,2398.02,Pengantar Praktikum Helmintologi Kedokteran,616.96 Pra H,Airlangga University Press,26-Sep-22,07 Oktober 2022
6824,2399/PAMNS/2022,2399.03,Pengantar Praktikum Helmintologi Kedokteran,616.96 Pra H,Airlangga University Press,26-Sep-22,07 Oktober 2022
6825,2400/PAMNS/2022,2400.04,Pengantar Praktikum Helmintologi Kedokteran,616.96 Pra H,Airlangga University Press,26-Sep-22,07 Oktober 2022
6826,2401/PAMNS/2022,2401.05,Pengantar Praktikum Helmintologi Kedokteran,616.96 Pra H,Airlangga University Press,26-Sep-22,07 Oktober 2022
6827,2402/PAMNS/2022,2402.06,Pengantar Praktikum Helmintologi Kedokteran,616.96 Pra H,Airlangga University Press,26-Sep-22,07 Oktober 2022
6828,2403/PAMNS/2022,2403.07,Pengantar Praktikum Helmintologi Kedokteran,616.96 Pra H,Airlangga University Press,26-Sep-22,07 Oktober 2022
6829,2404/PAMNS/2022,2404.08,Pengantar Praktikum Helmintologi Kedokteran,616.96 Pra H,Airlangga University Press,26-Sep-22,07 Oktober 2022
6830,2405/PAMNS/2022,2405.09,Pengantar Praktikum Helmintologi Kedokteran,616.96 Pra H,Airlangga University Press,26-Sep-22,07 Oktober 2022
6831,2406/PAMNS/2022,2406.1,Pengantar Praktikum Helmintologi Kedokteran,616.96 Pra H,Airlangga University Press,26-Sep-22,07 Oktober 2022
4372,2407/PAMNS/2022,2407.01,"Konseling, Dukungan, Perawatan dan Pengobatan Odha",616.97 Kon,Airlangga University Press,26-Sep-22,04 Oktober 2022
4373,2408/PAMNS/2022,2408.02,"Konseling, Dukungan, Perawatan dan Pengobatan Odha",616.97 Kon,Airlangga University Press,26-Sep-22,04 Oktober 2022
4374,2409/PAMNS/2022,2409.03,"Konseling, Dukungan, Perawatan dan Pengobatan Odha",616.97 Kon,Airlangga University Press,26-Sep-22,04 Oktober 2022
4375,2410/PAMNS/2022,2410.04,"Konseling, Dukungan, Perawatan dan Pengobatan Odha",616.97 Kon,Airlangga University Press,26-Sep-22,04 Oktober 2022
4376,2411/PAMNS/2022,2411.05,"Konseling, Dukungan, Perawatan dan Pengobatan Odha",616.97 Kon,Airlangga University Press,26-Sep-22,04 Oktober 2022
4377,2412/PAMNS/2022,2412.06,"Konseling, Dukungan, Perawatan dan Pengobatan Odha",616.97 Kon,Airlangga University Press,26-Sep-22,04 Oktober 2022
4378,2413/PAMNS/2022,2413.07,"Konseling, Dukungan, Perawatan dan Pengobatan Odha",616.97 Kon,Airlangga University Press,26-Sep-22,04 Oktober 2022
4379,2414/PAMNS/2022,2414.08,"Konseling, Dukungan, Perawatan dan Pengobatan Odha",616.97 Kon,Airlangga University Press,26-Sep-22,04 Oktober 2022
4380,2415/PAMNS/2022,2415.09,"Konseling, Dukungan, Perawatan dan Pengobatan Odha",616.97 Kon,Airlangga University Press,26-Sep-22,04 Oktober 2022
4381,2416/PAMNS/2022,2416.1,"Konseling, Dukungan, Perawatan dan Pengobatan Odha",616.97 Kon,Airlangga University Press,26-Sep-22,04 Oktober 2022
3802,2417/PAMNS/2022,2417.01,Kanker Kolokteral,616.99 Ard K,Airlangga University Press,26-Sep-22,04 Oktober 2022
3803,2418/PAMNS/2022,2418.02,Kanker Kolokteral,616.99 Ard K,Airlangga University Press,26-Sep-22,04 Oktober 2022
3804,2419/PAMNS/2022,2419.03,Kanker Kolokteral,616.99 Ard K,Airlangga University Press,26-Sep-22,04 Oktober 2022
3805,2420/PAMNS/2022,2420.04,Kanker Kolokteral,616.99 Ard K,Airlangga University Press,26-Sep-22,04 Oktober 2022
3806,2421/PAMNS/2022,2421.05,Kanker Kolokteral,616.99 Ard K,Airlangga University Press,26-Sep-22,04 Oktober 2022
3807,2422/PAMNS/2022,2422.06,Kanker Kolokteral,616.99 Ard K,Airlangga University Press,26-Sep-22,04 Oktober 2022
3808,2423/PAMNS/2022,2423.07,Kanker Kolokteral,616.99 Ard K,Airlangga University Press,26-Sep-22,04 Oktober 2022
3809,2424/PAMNS/2022,2424.08,Kanker Kolokteral,616.99 Ard K,Airlangga University Press,26-Sep-22,04 Oktober 2022
3810,2425/PAMNS/2022,2425.09,Kanker Kolokteral,616.99 Ard K,Airlangga University Press,26-Sep-22,04 Oktober 2022
3811,2426/PAMNS/2022,2426.1,Kanker Kolokteral,616.99 Ard K,Airlangga University Press,26-Sep-22,04 Oktober 2022
9464,2427/PAMNS/2022,2427.01,Tuberkulosis Diagnostik Mikrobiologis,616.92 Tub,Airlangga University Press,26-Sep-22,07 Oktober 2022
9465,2428/PAMNS/2022,2428.02,Tuberkulosis Diagnostik Mikrobiologis,616.92 Tub,Airlangga University Press,26-Sep-22,07 Oktober 2022
9466,2429/PAMNS/2022,2429.03,Tuberkulosis Diagnostik Mikrobiologis,616.92 Tub,Airlangga University Press,26-Sep-22,07 Oktober 2022
9467,2430/PAMNS/2022,2430.04,Tuberkulosis Diagnostik Mikrobiologis,616.92 Tub,Airlangga University Press,26-Sep-22,07 Oktober 2022
9468,2431/PAMNS/2022,2431.05,Tuberkulosis Diagnostik Mikrobiologis,616.92 Tub,Airlangga University Press,26-Sep-22,07 Oktober 2022
9469,2432/PAMNS/2022,2432.06,Tuberkulosis Diagnostik Mikrobiologis,616.92 Tub,Airlangga University Press,26-Sep-22,07 Oktober 2022
9470,2433/PAMNS/2022,2433.07,Tuberkulosis Diagnostik Mikrobiologis,616.92 Tub,Airlangga University Press,26-Sep-22,07 Oktober 2022
9471,2434/PAMNS/2022,2434.08,Tuberkulosis Diagnostik Mikrobiologis,616.92 Tub,Airlangga University Press,26-Sep-22,07 Oktober 2022
9472,2435/PAMNS/2022,2435.09,Tuberkulosis Diagnostik Mikrobiologis,616.92 Tub,Airlangga University Press,26-Sep-22,07 Oktober 2022
9473,2436/PAMNS/2022,2436.1,Tuberkulosis Diagnostik Mikrobiologis,616.92 Tub,Airlangga University Press,26-Sep-22,07 Oktober 2022
3812,2437/PAMNS/2022,2437.01,Kanker Kulit dan Sakoma Jaringan Lunak,616.99 Ard K,Airlangga University Press,26-Sep-22,29-Sep-22
3813,2438/PAMNS/2022,2438.02,Kanker Kulit dan Sakoma Jaringan Lunak,616.99 Ard K,Airlangga University Press,26-Sep-22,29-Sep-22
3814,2439/PAMNS/2022,2439.03,Kanker Kulit dan Sakoma Jaringan Lunak,616.99 Ard K,Airlangga University Press,26-Sep-22,29-Sep-22
3815,2440/PAMNS/2022,2440.04,Kanker Kulit dan Sakoma Jaringan Lunak,616.99 Ard K,Airlangga University Press,26-Sep-22,29-Sep-22
3816,2441/PAMNS/2022,2441.05,Kanker Kulit dan Sakoma Jaringan Lunak,616.99 Ard K,Airlangga University Press,26-Sep-22,29-Sep-22
3817,2442/PAMNS/2022,2442.06,Kanker Kulit dan Sakoma Jaringan Lunak,616.99 Ard K,Airlangga University Press,26-Sep-22,29-Sep-22
3818,2443/PAMNS/2022,2443.07,Kanker Kulit dan Sakoma Jaringan Lunak,616.99 Ard K,Airlangga University Press,26-Sep-22,29-Sep-22
3819,2444/PAMNS/2022,2444.08,Kanker Kulit dan Sakoma Jaringan Lunak,616.99 Ard K,Airlangga University Press,26-Sep-22,29-Sep-22
3820,2445/PAMNS/2022,2445.09,Kanker Kulit dan Sakoma Jaringan Lunak,616.99 Ard K,Airlangga University Press,26-Sep-22,29-Sep-22
3821,2446/PAMNS/2022,2446.1,Kanker Kulit dan Sakoma Jaringan Lunak,616.99 Ard K,Airlangga University Press,26-Sep-22,29-Sep-22
2314,2447/PAMNS/2022,2447.01,"Ensiklophobia ""Memahami Fobia - Apa dan Mengapa""",616.85 Ril E,PT Elex Media Komputindo,26 Oktober 2022,11-Nov-22
2315,2448/PAMNS/2022,2448.02,"Ensiklophobia ""Memahami Fobia - Apa dan Mengapa""",616.85 Ril E,PT Elex Media Komputindo,26 Oktober 2022,11-Nov-22
6492,2449/PAMNS/2022,2449.01,Pelapisan Gigi Tiruan Denture Lining,617.6 Ham P,Airlangga University Press,26-Sep-22,29-Sep-22
6493,2450/PAMNS/2022,2450.02,Pelapisan Gigi Tiruan Denture Lining,617.6 Ham P,Airlangga University Press,26-Sep-22,29-Sep-22
6494,2451/PAMNS/2022,2451.03,Pelapisan Gigi Tiruan Denture Lining,617.6 Ham P,Airlangga University Press,26-Sep-22,29-Sep-22
6495,2452/PAMNS/2022,2452.04,Pelapisan Gigi Tiruan Denture Lining,617.6 Ham P,Airlangga University Press,26-Sep-22,29-Sep-22
6496,2453/PAMNS/2022,2453.05,Pelapisan Gigi Tiruan Denture Lining,617.6 Ham P,Airlangga University Press,26-Sep-22,29-Sep-22
6497,2454/PAMNS/2022,2454.06,Pelapisan Gigi Tiruan Denture Lining,617.6 Ham P,Airlangga University Press,26-Sep-22,29-Sep-22
6498,2455/PAMNS/2022,2455.07,Pelapisan Gigi Tiruan Denture Lining,617.6 Ham P,Airlangga University Press,26 Agustus 2022,29-Sep-22
6499,2456/PAMNS/2022,2456.08,Pelapisan Gigi Tiruan Denture Lining,617.6 Ham P,Airlangga University Press,26-Sep-22,29-Sep-22
6500,2457/PAMNS/2022,2457.09,Pelapisan Gigi Tiruan Denture Lining,617.6 Ham P,Airlangga University Press,26-Sep-22,29-Sep-22
6501,2458/PAMNS/2022,2458.1,Pelapisan Gigi Tiruan Denture Lining,617.6 Ham P,Airlangga University Press,26-Sep-22,29-Sep-22
4045,2459/PAMNS/2022,2459.01,Kelainan Endoperio,617.6 Ruk K,Airlangga University Press,26-Sep-22,03 Oktober 2022
4046,2460/PAMNS/2022,2460.02,Kelainan Endoperio,617.6 Ruk K,Airlangga University Press,26-Sep-22,03 Oktober 2022
4047,2461/PAMNS/2022,2461.03,Kelainan Endoperio,617.6 Ruk K,Airlangga University Press,26-Sep-22,03 Oktober 2022
4048,2462/PAMNS/2022,2462.04,Kelainan Endoperio,617.6 Ruk K,Airlangga University Press,26-Sep-22,03 Oktober 2022
4049,2463/PAMNS/2022,2463.05,Kelainan Endoperio,617.6 Ruk K,Airlangga University Press,26-Sep-22,03 Oktober 2022
4050,2464/PAMNS/2022,2464.06,Kelainan Endoperio,617.6 Ruk K,Airlangga University Press,26-Sep-22,03 Oktober 2022
4051,2465/PAMNS/2022,2465.07,Kelainan Endoperio,617.6 Ruk K,Airlangga University Press,26-Sep-22,03 Oktober 2022
4052,2466/PAMNS/2022,2466.08,Kelainan Endoperio,617.6 Ruk K,Airlangga University Press,26-Sep-22,03 Oktober 2022
4053,2467/PAMNS/2022,2467.09,Kelainan Endoperio,617.6 Ruk K,Airlangga University Press,26-Sep-22,03 Oktober 2022
4054,2468/PAMNS/2022,2468.1,Kelainan Endoperio,617.6 Ruk K,Airlangga University Press,26-Sep-22,03 Oktober 2022
7599,2469/PAMNS/2022,2469.01,Restorasi Estetik Vener,617.6 Ruk R,Airlangga University Press,26-Sep-22,29-Sep-22
7600,2470/PAMNS/2022,2470.02,Restorasi Estetik Vener,617.6 Ruk R,Airlangga University Press,26-Sep-22,29-Sep-22
7601,2471/PAMNS/2022,2471.03,Restorasi Estetik Vener,617.6 Ruk R,Airlangga University Press,26-Sep-22,29-Sep-22
7602,2472/PAMNS/2022,2472.04,Restorasi Estetik Vener,617.6 Ruk R,Airlangga University Press,26-Sep-22,29-Sep-22
7603,2473/PAMNS/2022,2473.05,Restorasi Estetik Vener,617.6 Ruk R,Airlangga University Press,26-Sep-22,29-Sep-22
7604,2474/PAMNS/2022,2474.06,Restorasi Estetik Vener,617.6 Ruk R,Airlangga University Press,26-Sep-22,29-Sep-22
7605,2475/PAMNS/2022,2475.07,Restorasi Estetik Vener,617.6 Ruk R,Airlangga University Press,26-Sep-22,29-Sep-22
7606,2476/PAMNS/2022,2476.08,Restorasi Estetik Vener,617.6 Ruk R,Airlangga University Press,26-Sep-22,29-Sep-22
7607,2477/PAMNS/2022,2477.09,Restorasi Estetik Vener,617.6 Ruk R,Airlangga University Press,26-Sep-22,29-Sep-22
7608,2478/PAMNS/2022,2478.1,Restorasi Estetik Vener,617.6 Ruk R,Airlangga University Press,26-Sep-22,29-Sep-22
2247,2479/PAMNS/2022,2479.01,Eksklusif Tes Buta Warna Tes Ishihara,617.75 Car E,Pustaka Cerdas,24 Oktober 2022,22-Nov-22
2248,2480/PAMNS/2022,2480.02,Eksklusif Tes Buta Warna Tes Ishihara,617.75 Car E,Pustaka Cerdas,24 Oktober 2022,22-Nov-22
2249,2481/PAMNS/2022,2481.03,Eksklusif Tes Buta Warna Tes Ishihara,617.75 Car E,Pustaka Cerdas,24 Oktober 2022,22-Nov-22
2250,2482/PAMNS/2022,2482.04,Eksklusif Tes Buta Warna Tes Ishihara,617.75 Car E,Pustaka Cerdas,24 Oktober 2022,22-Nov-22
7898,2483/PAMNS/2022,2483.01,Sedasi di Luar Kamar Operasi,617.96 Vet S,Airlangga University Press,26-Sep-22,29-Sep-22
7899,2484/PAMNS/2022,2484.02,Sedasi di Luar Kamar Operasi,617.96 Vet S,Airlangga University Press,26-Sep-22,29-Sep-22
7900,2485/PAMNS/2022,2485.03,Sedasi di Luar Kamar Operasi,617.96 Vet S,Airlangga University Press,26-Sep-22,29-Sep-22
7901,2486/PAMNS/2022,2486.04,Sedasi di Luar Kamar Operasi,617.96 Vet S,Airlangga University Press,26-Sep-22,29-Sep-22
7902,2487/PAMNS/2022,2487.05,Sedasi di Luar Kamar Operasi,617.96 Vet S,Airlangga University Press,26-Sep-22,29-Sep-22
7903,2488/PAMNS/2022,2488.06,Sedasi di Luar Kamar Operasi,617.96 Vet S,Airlangga University Press,26-Sep-22,29-Sep-22
7904,2489/PAMNS/2022,2489.07,Sedasi di Luar Kamar Operasi,617.96 Vet S,Airlangga University Press,26-Sep-22,29-Sep-22
7905,2490/PAMNS/2022,2490.08,Sedasi di Luar Kamar Operasi,617.96 Vet S,Airlangga University Press,26-Sep-22,29-Sep-22
7906,2491/PAMNS/2022,2491.09,Sedasi di Luar Kamar Operasi,617.96 Vet S,Airlangga University Press,26-Sep-22,29-Sep-22
7907,2492/PAMNS/2022,2492.1,Sedasi di Luar Kamar Operasi,617.96 Vet S,Airlangga University Press,26-Sep-22,29-Sep-22
6951,2493/PAMNS/2022,2493.01,Penyakit Jantung dan Kehamilan,618.32 Pen ,Airlangga University Press,26-Sep-22,29-Sep-22
6952,2494/PAMNS/2022,2494.02,Penyakit Jantung dan Kehamilan,618.32 Pen ,Airlangga University Press,26-Sep-22,29-Sep-22
6953,2495/PAMNS/2022,2495.03,Penyakit Jantung dan Kehamilan,618.32 Pen ,Airlangga University Press,26-Sep-22,29-Sep-22
6954,2496/PAMNS/2022,2496.04,Penyakit Jantung dan Kehamilan,618.32 Pen ,Airlangga University Press,26-Sep-22,29-Sep-22
6955,2497/PAMNS/2022,2497.05,Penyakit Jantung dan Kehamilan,618.32 Pen ,Airlangga University Press,26-Sep-22,29-Sep-22
6956,2498/PAMNS/2022,2498.06,Penyakit Jantung dan Kehamilan,618.32 Pen ,Airlangga University Press,26-Sep-22,29-Sep-22
6957,2499/PAMNS/2022,2499.07,Penyakit Jantung dan Kehamilan,618.32 Pen ,Airlangga University Press,26-Sep-22,29-Sep-22
6958,2500/PAMNS/2022,2500.08,Penyakit Jantung dan Kehamilan,618.32 Pen ,Airlangga University Press,26-Sep-22,29-Sep-22
6959,2501/PAMNS/2022,2501.09,Penyakit Jantung dan Kehamilan,618.32 Pen ,Airlangga University Press,26-Sep-22,29-Sep-22
6960,2502/PAMNS/2022,2502.1,Penyakit Jantung dan Kehamilan,618.32 Pen ,Airlangga University Press,26-Sep-22,29-Sep-22
6893,2503/PAMNS/2022,2503.01,Pengetahuan dan Keterampilan Dasar Ilmu Bedah Plastik,617.95 Pen,Airlangga University Press,26-Sep-22,29-Sep-22
6894,2504/PAMNS/2022,2504.02,Pengetahuan dan Keterampilan Dasar Ilmu Bedah Plastik,617.95 Pen,Airlangga University Press,26-Sep-22,29-Sep-22
6895,2505/PAMNS/2022,2505.03,Pengetahuan dan Keterampilan Dasar Ilmu Bedah Plastik,617.95 Pen,Airlangga University Press,26-Sep-22,29-Sep-22
6896,2506/PAMNS/2022,2506.04,Pengetahuan dan Keterampilan Dasar Ilmu Bedah Plastik,617.95 Pen,Airlangga University Press,26-Sep-22,29-Sep-22
6897,2507/PAMNS/2022,2507.05,Pengetahuan dan Keterampilan Dasar Ilmu Bedah Plastik,617.95 Pen,Airlangga University Press,26-Sep-22,29-Sep-22
6898,2508/PAMNS/2022,2508.06,Pengetahuan dan Keterampilan Dasar Ilmu Bedah Plastik,617.95 Pen,Airlangga University Press,26-Sep-22,29-Sep-22
6899,2509/PAMNS/2022,2509.07,Pengetahuan dan Keterampilan Dasar Ilmu Bedah Plastik,617.95 Pen,Airlangga University Press,26-Sep-22,29-Sep-22
6900,2510/PAMNS/2022,2510.08,Pengetahuan dan Keterampilan Dasar Ilmu Bedah Plastik,617.95 Pen,Airlangga University Press,26-Sep-22,29-Sep-22
6901,2511/PAMNS/2022,2511.09,Pengetahuan dan Keterampilan Dasar Ilmu Bedah Plastik,617.95 Pen,Airlangga University Press,26-Sep-22,29-Sep-22
6902,2512/PAMNS/2022,2512.1,Pengetahuan dan Keterampilan Dasar Ilmu Bedah Plastik,617.95 Pen,Airlangga University Press,26-Sep-22,29-Sep-22
3144,2513/PAMNS/2022,2513.01,Indonesia Dalam Rekayasa Kehidupan,620 Dha I,Grasindo,24 Oktober 2022,16-Nov-22
5018,2514/PAMNS/2022,2514.01,Material dan Nanokomposit,620.118 Rih M,Andi,26 Oktober 2022,01 Februari 2023
8990,2515/PAMNS/2022,2515.01,Teori dan aplikasi teknik listrik,621.31 Dar T,GAVA MEDIA,26 Oktober 2022,22-Nov-22
8991,2516/PAMNS/2022,2516.02,Teori dan aplikasi teknik listrik,621.31 Dar T,GAVA MEDIA,26 Oktober 2022,22-Nov-22
5578,2517/PAMNS/2022,2517.01,Messerschmitt ME-262,623.7 Okt. M,Elex Media Komputindo,26 Oktober 2022,10-Nov-22
5579,2518/PAMNS/2022,2518.02,Messerschmitt ME-262,623.7 Okt. M,Elex Media Komputindo,26 Oktober 2022,10-Nov-22
5832,2519/PAMNS/2022,2519.01,Motor Bakar Torak Teori & Aplikasinya,629.24 Kri M,Andi,29 Oktober 2022,21-Nov-22
5833,2520/PAMNS/2022,2520.02,Motor Bakar Torak Teori & Aplikasinya,629.24 Kri M,Andi,29 Oktober 2022,21-Nov-22
9486,2521/PAMNS/2022,2521.01,Tune up sepeda motor,629.28 Dar T,ALFABETA,26 Oktober 2022,22-Nov-22
9487,2522/PAMNS/2022,2522.02,Tune up sepeda motor,629.28 Dar T,ALFABETA,26 Oktober 2022,22-Nov-22
8997,2523/PAMNS/2022,2523.01,Teori dan reparasi sistem bahan bakar bensin mobil,629.28 Sup T,GAVA MEDIA,26 Oktober 2022,22-Nov-22
8998,2524/PAMNS/2022,2524.02,Teori dan reparasi sistem bahan bakar bensin mobil,629.28 Sup T,GAVA MEDIA,26 Oktober 2022,22-Nov-22
8999,2525/PAMNS/2022,2525.01,TEORI dan REPARASI SISTEM PENGISIAN dan STARTER MOBIL,629.28 Sup T,GAVA MEDIA,29 Oktober 2022,21-Nov-22
9000,2526/PAMNS/2022,2526.02,TEORI dan REPARASI SISTEM PENGISIAN dan STARTER MOBIL,629.28 Sup T,GAVA MEDIA,29 Oktober 2022,21-Nov-22
7661,2527/PAMNS/2022,2527.01,Robot B.E.A.M,629.8 Suy R,Andi,26 Oktober 2022,22-Nov-22
7662,2528/PAMNS/2022,2528.02,Robot B.E.A.M,629.8 Suy R,Andi,26 Oktober 2022,22-Nov-22
7663,2529/PAMNS/2022,2529.03,Robot B.E.A.M,629.8 Suy R,Andi,26 Oktober 2022,22-Nov-22
8956,2530/PAMNS/2022,2530.01,Teknik Terbaru Budidaya Vanili Di Pekarangan Rumah & Pot,630 Fat T,Agromedia Pustaka,26-Sep-22,21-Nov-22
8957,2531/PAMNS/2022,2531.02,Teknik Terbaru Budidaya Vanili Di Pekarangan Rumah & Pot,630 Fat T,Agromedia Pustaka,26-Sep-22,21-Nov-22
1275,2532/PAMNS/2022,2532.01,Budidaya Varietas Pepaya Komersial ,630 Kal P,Pustaka Baru Press,26-Sep-22,21-Nov-22
1276,2533/PAMNS/2022,2533.02,Budidaya Varietas Pepaya Komersial ,630 Kal P,Pustaka Baru Press,22 Agustus 2022,21-Nov-22
9562,2534/PAMNS/2022,2534.01,Untung Berlipat dari Kayu Jati,630 Pur U,Penebar Swadaya,29 Oktober 2022,21-Nov-22
9563,2535/PAMNS/2022,2535.02,Untung Berlipat dari Kayu Jati,630 Pur U,Penebar Swadaya,29 Oktober 2022,21-Nov-22
6292,2536/PAMNS/2022,2536.01,Panduan Praktis Budidaya Kakao,630 Sir P,Penebar Swadaya,26 Oktober 2022,21-Nov-22
6293,2537/PAMNS/2022,2537.02,Panduan Praktis Budidaya Kakao,630 Sir P,Penebar Swadaya,26 Oktober 2022,21-Nov-22
3762,2538/PAMNS/2022,2538.01,Kamus Pertanian Umum,630.203 Kam,Penebar Swadaya,29 Oktober 2022,17-Nov-22
3763,2539/PAMNS/2022,2539.02,Kamus Pertanian Umum,630.203 Kam,Penebar Swadaya,29 Oktober 2022,17-Nov-22
3764,2540/PAMNS/2022,2540.03,Kamus Pertanian Umum,630.203 Kam,Penebar Swadaya,29 Oktober 2022,17-Nov-22
7613,2541/PAMNS/2022,2541.01,Revitalisasi Pertanian dan Dialog Peradaban,630.7 Rev,PT Kompas Media Nusantara,22-Nov-22,24-Nov-22
7614,2542/PAMNS/2022,2542.02,Revitalisasi Pertanian dan Dialog Peradaban,630.7 Rev,PT Kompas Media Nusantara,22-Nov-22,24-Nov-22
7615,2543/PAMNS/2022,2543.03,Revitalisasi Pertanian dan Dialog Peradaban,630.7 Rev,PT Kompas Media Nusantara,22-Nov-22,24-Nov-22
7616,2544/PAMNS/2022,2544.04,Revitalisasi Pertanian dan Dialog Peradaban,630.7 Rev,PT Kompas Media Nusantara,22-Nov-22,24-Nov-22
7617,2545/PAMNS/2022,2545.05,Revitalisasi Pertanian dan Dialog Peradaban,630.7 Rev,PT Kompas Media Nusantara,22-Nov-22,24-Nov-22
7618,2546/PAMNS/2022,2546.06,Revitalisasi Pertanian dan Dialog Peradaban,630.7 Rev,PT Kompas Media Nusantara,22-Nov-22,24-Nov-22
7619,2547/PAMNS/2022,2547.07,Revitalisasi Pertanian dan Dialog Peradaban,630.7 Rev,PT Kompas Media Nusantara,22-Nov-22,24-Nov-22
7620,2548/PAMNS/2022,2548.08,Revitalisasi Pertanian dan Dialog Peradaban,630.7 Rev,PT Kompas Media Nusantara,22-Nov-22,24-Nov-22
7621,2549/PAMNS/2022,2549.09,Revitalisasi Pertanian dan Dialog Peradaban,630.7 Rev,PT Kompas Media Nusantara,22-Nov-22,24-Nov-22
7622,2550/PAMNS/2022,2550.1,Revitalisasi Pertanian dan Dialog Peradaban,630.7 Rev,PT Kompas Media Nusantara,22-Nov-22,24-Nov-22
7623,2551/PAMNS/2022,2551.11,Revitalisasi Pertanian dan Dialog Peradaban,630.7 Rev,PT Kompas Media Nusantara,22-Nov-22,24-Nov-22
7624,2552/PAMNS/2022,2552.12,Revitalisasi Pertanian dan Dialog Peradaban,630.7 Rev,PT Kompas Media Nusantara,22-Nov-22,24-Nov-22
7625,2553/PAMNS/2022,2553.13,Revitalisasi Pertanian dan Dialog Peradaban,630.7 Rev,PT Kompas Media Nusantara,22-Nov-22,24-Nov-22
7130,2554/PAMNS/2022,2554.01,Petani Kubis Berbasis Pendidikan Dan Kesehatan,630.7 Sap D,Aswaja Pressindo,26 Oktober 2022,21-Nov-22
6572,2555/PAMNS/2022,2555.01,"Pembangunan Pertanian ""Progress dan Paradigma""",630.7 Sum P,"UPN ""Veteran"" Jawa Timur",29-Sep-22,29 Oktober 2022
6573,2556/PAMNS/2022,2556.02,"Pembangunan Pertanian ""Progress dan Paradigma""",630.7 Sum P,"UPN ""Veteran"" Jawa Timur",29-Sep-22,29 Oktober 2022
1179,2557/PAMNS/2022,2557.01,Biologi dan Kesuburan Tanah,631.4 Eff B,Unesa University Press,29-Sep-22,29 Oktober 2022
6012,2558/PAMNS/2022,2558.01,Nutrisi Tanaman,631.4 Wij N,Andi,29 Oktober 2022,21-Nov-22
9579,2559/PAMNS/2022,2559.01,Usaha Pembibitan Anggrek dalam Botol (Teknik In Vitro),631.52 And A,Pustaka Baru Press,24 Oktober 2022,23-Nov-22
9580,2560/PAMNS/2022,2560.02,Usaha Pembibitan Anggrek dalam Botol (Teknik In Vitro),631.52 And A,Pustaka Baru Press,24 Oktober 2022,23-Nov-22
7120,2561/PAMNS/2022,2561.01,"Pertanian Organik ""Solusi Pertanian Berkelanjutan""",631.58 Pur P,LILY PUBLISHER,26 Oktober 2022,26-Nov-22
7461,2562/PAMNS/2022,2562.01,Rahasia Sukses Budi Daya Tanaman Dengan Metode Hidroponik,631.58 Sut R,Bio Genesis,26-Sep-22,21-Nov-22
7462,2563/PAMNS/2022,2563.02,Rahasia Sukses Budi Daya Tanaman Dengan Metode Hidroponik,631.58 Sut R,Bio Genesis,26-Sep-22,21-Nov-22
7157,2564/PAMNS/2022,2564.01,Pintar Membuat KOMPOS Dari Sampah Rumah Tangga & Limbah Pertanian/Peternakan,631.8 Kal K,PUSTAKA BARU,29 Oktober 2022,21-Nov-22
7158,2565/PAMNS/2022,2565.02,Pintar Membuat KOMPOS Dari Sampah Rumah Tangga & Limbah Pertanian/Peternakan,631.8 Kal K,PUSTAKA BARU,29 Oktober 2022,21-Nov-22
6260,2566/PAMNS/2022,2566.01,Panduan Lengkap & Praktis Membuat Pupuk KOMPOS Yang Paling Menguntungkan,631.8 Lub M,GARUDA PUSTAKA,29 Oktober 2022,21-Nov-22
552,2567/PAMNS/2022,2567.01,Analisis Dampak Lingkungan Pertanian,632 Sas A,Unesa University Press,29-Sep-22,29 Oktober 2022
4157,2568/PAMNS/2022,2568.01,KETAHANAN TANAMAN TERHADAP HAMA,632.3 Sod K,UPN Press,29 Oktober 2022,17-Nov-22
2339,2569/PAMNS/2022,2569.01,Estimasi Kehilangan Hasil Ekonomi Produksi Bawang Merah Terhadap Penyakit Bercak Ungu,632.8 Nir E,"UPN ""Veteran"" Jawa Timur",26-Sep-22,25 Oktober 2022
