NO,NOMOR INDUK BUKU,NOMOR INVENTARIS,JUDUL,NOMOR PANGGIL SETEMPAT,PENERBIT,TANGGAL MASUK,TANGGAL INVENTARIS
1767,6051/PAMNS/2024,6051.01,Das groBe Hicksen,"741,5 Bor D",KIDDINX Studios GmBH,22-Sep-22,04 Desember 2024
9906,6052/PAMNS/2024,6052.01,Wirbel in der Sportstunde,"741,5 And W",KIDDINX Studios GmBH,22-Sep-22,04 Desember 2024
5319,6053/PAMNS/2024,6053.01,Menanti Sang Mempelai (The Bridal Bargain),823 Dar M,PT Gramedia Pustaka Utama,26 Oktober 2022,04 Desember 2024
1720,6054/PAMNS/2024,6054.01,DARK LOVER: Kekasih Misterius,823 War D,PT Gramedia Pustaka Utama,22 Oktober 2022,04 Desember 2024
736,6055/PAMNS/2024,6055.02,"Asal Mula Terjadinya Alam Semesta, Galaksi, Tata Surya, dan Kita",523.1 Tys A,PT Gramedia,26 Oktober 2022,04 Desember 2024
4747,6056/PAMNS/2024,6056.01,Lessons in Rule Breaking,823 Mck L,PT Gramedia,26 Oktober 2024,04 Desember 2024
2914,6057/PAMNS/2024,6057.01,Hujan Bulan Juni: Sepilihan Sajak,811 Dam H-1,PT Gramedia Pustaka Utama,26 Oktober 2022,04 Desember 2024
2915,6058/PAMNS/2024,6058.02,Hujan Bulan Juni: Sepilihan Sajak,811 Dam H-1,PT Gramedia Pustaka Utama,26 Oktober 2022,04 Desember 2024
2916,6059/PAMNS/2024,6059.03,Hujan Bulan Juni: Sepilihan Sajak,811 Dam H-1,PT Gramedia Pustaka Utama,26 Oktober 2022,04 Desember 2024
3250,6060/PAMNS/2024,6060.01,Inteligensi Embun Pagi,813 Les I,PT Bentang Pustaka,26 Oktober 2022,04 Desember 2024
9320,6061/PAMNS/2024,6061.01,THE TAKER: Sang Pengambil,823 Kat T,PT Gramedia Pustaka Utama,26 Oktober 2022,04 Desember 2024
9277,6062/PAMNS/2024,6062.01,The Rainbow Troops (Laskar Pelangi),813 Hir T,PT Bentang Pustaka,26 Oktober 2022,04 Desember 2024
5746,6063/PAMNS/2024,6063.03,Misteri Harta Berdarah,813 Sis M,PT Gramedia,26 Oktober 2022,04 Desember 2024
5188,6064/PAMNS/2024,6064.01,Memahami Budaya Panji,398.209598 Nur M,Komunitas Seni Budaya BranGWetaN,26 Oktober 2022,04 Desember 2024
7128,6065/PAMNS/2024,6065.01,Pesona Yunani: Santorini & Athena,938 Lui P,PT Gramedia Pustaka Utama,26 Oktober 2022,04 Desember 2024
82,6066/PAMNS/2024,6066.01,2.7 MODEL OF LEADER CHARACTER,158.4 Wac T,Museum Kebudayaan Samparaja Bima,26 Oktober 2022,04 Desember 2024
7630,6067/PAMNS/2024,6067.01,Revolusi Mental dalam Budaya Jawa,306 End R,NARASI,26 Oktober 2022,04 Desember 2024
9704,6068/PAMNS/2024,6068.01,When Silly Met Venus,823 Ver W,PT Gramedia Widiasarana Indonesia,26 Oktober 2022,04 Desember 2024
2280,6069/PAMNS/2024,6069.01,Empat Musim Cinta,813 Mul E,GagasMedia,26 Oktober 2022,04 Desember 2024
8942,6070/PAMNS/2024,6070.01,"Teknik Digital - Teori, Contoh Soal, dan Aplikasi",004 Ari T,Penerbit ANDI,26 Oktober 2022,04 Desember 2024
8415,6071/PAMNS/2024,6071.02,Sound Film,621.389 Dar S,Kementerian Pendidikan dan Kebudayaan Pusat Pengembangan Perfilman,26 Oktober 2022,04 Desember 2024
7643,6072/PAMNS/2024,6072.01,Risalah Ramadhan,297.362 ABD R,Darul Wathan,26 Oktober 2022,04 Desember 2024
8716,6073/PAMNS/2024,6073.01,SUAMI IDAMAN ISTRI IDAMAN (KIAT MEMBINA KELUARGA SAKINAH),297.577 Sel S,KALAM MULIA,26 Oktober 2022,04 Desember 2024
2102,6074/PAMNS/2024,6074.01,"Disebabkan Oleh Cinta, Kupercayakan Rumahku Padamu",306.81 ADH K,MITRA PUSTAKA,26 Oktober 2022,04 Desember 2024
5774,6075/PAMNS/2024,6075.01,Modul: MATERI SUARA,778.534 Wor 1,Kementerian Pendidikan dan Kebudayaan Pusat Pengembangan Perfilman,26 Oktober 2022,04 Desember 2024
5775,6076/PAMNS/2024,6076.02,Modul: MATERI SUARA,778.534 Wor 1,Kementerian Pendidikan dan Kebudayaan Pusat Pengembangan Perfilman,26 Oktober 2024,04 Desember 2024
3379,6077/PAMNS/2024,6077.01,Istri Kontrak,813 Sir I,PT Grasindo,26 Oktober 2022,05 Desember 2024
4568,6078/PAMNS/2024,6078.01,Kudidik Diriku demi Mendidik Anakku - Revisi,649.7 Apr K,DIOMA,26 Oktober 2022,05 Desember 2024
7397,6079/PAMNS/2024,6079.01,Pudarnya Pesona Cleopatra,813 Shi P,Republika Penerbit ,26 Oktober 2022,05 Desember 2024
6349,6080/PAMNS/2024,6080.01,"Para Grand Master Spiritual, Juru Sembuh, Sejarah, Budaya, Marketing",920.71 Muf P,Menara Madinah,26 Oktober 2022,05 Desember 2024
125,6081/PAMNS/2024,6081.01,"5 Relationships, Success and Happiness",155.25 Bud R,PT Elex Media Komputindo,26 Oktober 2022,05 Desember 2024
7915,6082/PAMNS/2024,6082.01,Sejarah Afrika,960.3 Soe S,Penerbit Ombak,22 Oktober 2022,05 Desember 2024
4787,6083/PAMNS/2024,6083.01,Love Me Twice,813 Hom L,GagasMedia,26 Oktober 2022,05 Desember 2024
2539,6084/PAMNS/2024,6084.01,From Dead To Worse Kudeta Kerajaan Vampir,823 Har F,ERLANGGA,26 Oktober 2022,05 Desember 2024
